LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-12,99.69296,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-01,99.46131,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-02,99.29495,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-03,99.15007,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-04,98.94211,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-05,98.63087,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-06,98.26881,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-07,98.03306,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-08,98.00887,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-09,98.02644,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-10,97.92443,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-11,97.79179,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2008-12,97.61092,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-01,97.4701,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-02,97.38524,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-03,97.42078,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-04,97.63495,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-05,97.94436,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-06,98.30893,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-07,98.66183,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-08,98.98381,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-09,99.28945,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-10,99.54456,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-11,99.6997,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2009-12,99.75425,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-01,99.72098,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-02,99.59144,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-03,99.44906,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-04,99.2994,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-05,99.11282,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-06,99.07384,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-07,99.18928,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-08,99.34703,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-09,99.42022,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-10,99.46844,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-11,99.52496,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2010-12,99.50865,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-01,99.48656,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-02,99.47083,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-03,99.38097,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-04,99.259,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-05,99.21973,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-06,99.19371,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-07,99.02625,
